,Team,Color
82,Pittsburgh,#003594
240,Portland,#1e1656
282,Portland St.,#154734
317,Prairie View A&M,#330066
341,Presbyterian,#0060a9
138,Princeton,#FF671F
62,Providence,#8a8d8f
24,Purdue,#ceb888
203,Purdue Fort Wayne,#000000
276,Quinnipiac,#0C2340
305,Radford,#c2011b
97,Rhode Island,#68abe8
259,Rice,#00205B
61,Richmond,#000066
287,Rider,#981E32
229,Robert Morris,#14234b
26,Rutgers,#cc0033
332,SIU Edwardsville,#ef3829
56,SMU,#0033A0
234,Sacramento St.,#043927
323,Sacred Heart,#ce1141
159,Saint Joseph's,#9e1b32
44,Saint Louis,#003DA5
70,Saint Mary's,#D80024
183,Saint Peter's,#003C71
289,Sam Houston St.,#fe5100
326,Samford,#002649
148,San Diego,#002868
43,San Diego St.,#a6192e
81,San Francisco,#FDBB30
265,San Jose St.,#0055A2
106,Santa Clara,#862633
318,Seattle,#AA0000
49,Seton Hall,#004488
136,Siena,#FFC72C
209,South Alabama,#00205B
59,South Carolina,#73000A
354,South Carolina St.,#862633
204,South Dakota,#ad0000
94,South Dakota St.,#0033A0
87,South Florida,#006747
340,Southeast Missouri St.,#000000
321,Southeastern Louisiana,#006341
262,Southern,#58b6e7
184,Southern Illinois,#720000
275,Southern Miss,#000000
189,Southern Utah,#C41425
75,St. Bonaventure,#54261a
324,St. Francis NY,#005496
235,St. Francis PA,#bd1f25
71,St. John's,#BA0C2F
31,Stanford,#8c1515
143,Stephen F. Austin,#613393
221,Stetson,#006747
245,Stony Brook,#990000
28,Syracuse,#d44500
52,TCU,#4d1979
334,Tarleton St.,#4F2D7F
153,Temple,#9D2235
19,Tennessee,#FF8200
337,Tennessee Martin,#f79728
283,Tennessee St.,#00539f
311,Tennessee Tech,#4f2984
8,Texas,#bf5700
67,Texas A&M,#500000
309,Texas A&M Corpus Chris,#0067c5
257,Texas Southern,#7c183e
134,Texas St.,#501214
5,Texas Tech,#cc0000
328,The Citadel,#3975B7
132,Toledo,#15397F
198,Towson,#ffbb00
266,Troy,#8a2432
201,Tulane,#006747
90,Tulsa,#002D72
115,UAB,#006341
186,UC Davis,#002855
128,UC Irvine,#0C2340
215,UC Riverside,#2D6CC0
185,UC San Diego,#182B49
127,UC Santa Barbara,#003660
113,UCF,#ffc904
27,UCLA,#2d68c4
233,UMBC,#b18906
280,UMKC,#005293
243,UMass Lowell,#003DA5
206,UNC Asheville,#003da5
92,UNC Greensboro,#0f2044
238,UNC Wilmington,#003366
119,UNLV,#CF0A2C
47,USC,#9d2235
247,USC Upstate,#00703c
158,UT Arlington,#f58025
236,UT Rio Grande Valley,#FFA300
191,UTEP,#FF8200
144,UTSA,#f15a22
51,Utah,#cc0000
68,Utah St.,#0F2439
313,Utah Valley,#275d38
96,VCU,#ffb300
278,VMI,#a71f23
146,Valparaiso,#381e0e
125,Vanderbilt,#000000
86,Vermont,#154734
3,Villanova,#00205b
15,Virginia,#232d4b
29,Virginia Tech,#630031
274,Wagner,#00483a
129,Wake Forest,#9E7E38
74,Washington,#4B2e83
135,Washington St.,#981e32
273,Weber St.,#4b2682
7,West Virginia,#002855
199,Western Carolina,#592c88
346,Western Illinois,#663399
80,Western Kentucky,#c60c30
250,Western Michigan,#6C4023
73,Wichita St.,#FFCD00
288,William & Mary,#115740
114,Winthrop,#660000
6,Wisconsin,#c5050c
140,Wofford,#886E4C
110,Wright St.,#026937
197,Wyoming,#ffc425
64,Xavier,#0C2340
100,Yale,#00356b
179,Youngstown St.,#C8102E
